county,long,lat,Daily Mean PM2.5 Concentration
Alameda,-121.913304,37.648081,4.9
Alpine,-119.798999,38.61761,
Amador,-120.653856,38.44355,
Butte,-121.601919,39.665959,3.2
Calaveras,-120.680277,38.20185,3.7
Colusa,-121.99887,39.18919,4.1
Contra Costa,-121.951543,37.919479,6.2
Del Norte,-124.20347,41.75613,7.6
El Dorado,-120.534398,38.785532,
Fresno,-119.655019,36.761006,8.9
Glenn,-122.190834,39.53387,2.5
Humboldt,-123.925818,40.706673,
Imperial,-115.355395,33.040816,9.3
Inyo,-117.403927,36.561977,6.8
Kern,-118.729506,35.346629,14
Kings,-119.81553,36.072478,10.6
Lake,-122.746757,39.094802,
Lassen,-120.629931,40.721089,
Los Angeles,-118.261862,34.196398,11.8
Madera,-119.749852,37.210039,10
Marin,-122.745974,38.051817,6.2
Mariposa,-119.91286,37.570034,6.7
Mendocino,-123.442881,39.432388,10.4
Merced,-120.722802,37.194806,8.1
Modoc,-120.71837,41.592919,
Mono,-118.96652,37.64571,10.6
Monterey,-121.315573,36.240107,4.1
Napa,-122.325995,38.507351,
Nevada,-120.773446,39.295191,3
Orange,-117.777207,33.675687,14
Placer,-120.722718,39.062032,3.4
Plumas,-120.829516,39.99517,8.2
Riverside,-116.002239,33.729828,9.1
Sacramento,-121.340441,38.450011,4.5
San Benito,-121.085296,36.610702,2.6
San Bernardino,-116.181197,34.85722,19.8
San Diego,-116.776117,33.023604,6.8
San Francisco,-123.032229,37.727239,10.9
San Joaquin,-121.272237,37.935034,5.6
San Luis Obispo,-120.44754,35.385227,7
San Mateo,-122.371542,37.414664,6.5
Santa Barbara,-120.038485,34.537378,10
Santa Clara,-121.690622,37.220777,6.8
Santa Cruz,-122.007205,37.012488,7.3
Shasta,-122.04355,40.760522,1.9
Sierra,-120.521993,39.576925,
Siskiyou,-122.533287,41.587986,5.3
Solano,-121.939594,38.267226,8.4
Sonoma,-122.945194,38.532574,5.5
Stanislaus,-121.002656,37.562384,10
Sutter,-121.702758,39.035257,8.6
Tehama,-122.232276,40.126156,3.4
Trinity,-123.114404,40.647724,4.7
Tulare,-118.780542,36.230453,10.5
Tuolumne,-119.964708,38.021451,
Ventura,-119.133143,34.358742,9
Yolo,-121.903178,38.679268,1.7
Yuba,-121.34428,39.270026,
