county,long,lat,Daily Mean PM2.5 Concentration
Alameda,-121.913304,37.648081,4.7
Alpine,-119.798999,38.61761,
Amador,-120.653856,38.44355,
Butte,-121.601919,39.665959,2.5
Calaveras,-120.680277,38.20185,3.5
Colusa,-121.99887,39.18919,3
Contra Costa,-121.951543,37.919479,6.1
Del Norte,-124.20347,41.75613,5
El Dorado,-120.534398,38.785532,
Fresno,-119.655019,36.761006,1.9
Glenn,-122.190834,39.53387,0.9
Humboldt,-123.925818,40.706673,
Imperial,-115.355395,33.040816,7.1
Inyo,-117.403927,36.561977,2.1
Kern,-118.729506,35.346629,7.4
Kings,-119.81553,36.072478,5
Lake,-122.746757,39.094802,
Lassen,-120.629931,40.721089,
Los Angeles,-118.261862,34.196398,4.7
Madera,-119.749852,37.210039,4
Marin,-122.745974,38.051817,6.4
Mariposa,-119.91286,37.570034,3.6
Mendocino,-123.442881,39.432388,9.6
Merced,-120.722802,37.194806,4.7
Modoc,-120.71837,41.592919,
Mono,-118.96652,37.64571,4.5
Monterey,-121.315573,36.240107,3.4
Napa,-122.325995,38.507351,
Nevada,-120.773446,39.295191,2.6
Orange,-117.777207,33.675687,5.7
Placer,-120.722718,39.062032,3.7
Plumas,-120.829516,39.99517,4.5
Riverside,-116.002239,33.729828,3.6
Sacramento,-121.340441,38.450011,3.4
San Benito,-121.085296,36.610702,3
San Bernardino,-116.181197,34.85722,7.7
San Diego,-116.776117,33.023604,6.6
San Francisco,-123.032229,37.727239,5.9
San Joaquin,-121.272237,37.935034,2.4
San Luis Obispo,-120.44754,35.385227,14.7
San Mateo,-122.371542,37.414664,5.1
Santa Barbara,-120.038485,34.537378,1.2
Santa Clara,-121.690622,37.220777,6.6
Santa Cruz,-122.007205,37.012488,5.4
Shasta,-122.04355,40.760522,
Sierra,-120.521993,39.576925,
Siskiyou,-122.533287,41.587986,4.9
Solano,-121.939594,38.267226,5.6
Sonoma,-122.945194,38.532574,6.2
Stanislaus,-121.002656,37.562384,7.7
Sutter,-121.702758,39.035257,6.8
Tehama,-122.232276,40.126156,
Trinity,-123.114404,40.647724,3.2
Tulare,-118.780542,36.230453,3.4
Tuolumne,-119.964708,38.021451,
Ventura,-119.133143,34.358742,6.6
Yolo,-121.903178,38.679268,1
Yuba,-121.34428,39.270026,
