county,long,lat,Daily Mean PM2.5 Concentration
Alameda,-121.913304,37.648081,7.9
Alpine,-119.798999,38.61761,
Amador,-120.653856,38.44355,
Butte,-121.601919,39.665959,3.8
Calaveras,-120.680277,38.20185,5
Colusa,-121.99887,39.18919,6.3
Contra Costa,-121.951543,37.919479,7.5
Del Norte,-124.20347,41.75613,4.6
El Dorado,-120.534398,38.785532,3.8
Fresno,-119.655019,36.761006,9
Glenn,-122.190834,39.53387,2.3
Humboldt,-123.925818,40.706673,7.1
Imperial,-115.355395,33.040816,11.9
Inyo,-117.403927,36.561977,4.4
Kern,-118.729506,35.346629,19.5
Kings,-119.81553,36.072478,8.5
Lake,-122.746757,39.094802,
Lassen,-120.629931,40.721089,
Los Angeles,-118.261862,34.196398,17.4
Madera,-119.749852,37.210039,8.9
Marin,-122.745974,38.051817,8.6
Mariposa,-119.91286,37.570034,4
Mendocino,-123.442881,39.432388,7.5
Merced,-120.722802,37.194806,7.8
Modoc,-120.71837,41.592919,
Mono,-118.96652,37.64571,6
Monterey,-121.315573,36.240107,6.3
Napa,-122.325995,38.507351,
Nevada,-120.773446,39.295191,3.1
Orange,-117.777207,33.675687,15.2
Placer,-120.722718,39.062032,5.3
Plumas,-120.829516,39.99517,11.3
Riverside,-116.002239,33.729828,5.6
Sacramento,-121.340441,38.450011,8.5
San Benito,-121.085296,36.610702,5.9
San Bernardino,-116.181197,34.85722,20.2
San Diego,-116.776117,33.023604,11
San Francisco,-123.032229,37.727239,12.1
San Joaquin,-121.272237,37.935034,6.2
San Luis Obispo,-120.44754,35.385227,5.7
San Mateo,-122.371542,37.414664,10.4
Santa Barbara,-120.038485,34.537378,7.4
Santa Clara,-121.690622,37.220777,9.4
Santa Cruz,-122.007205,37.012488,8.5
Shasta,-122.04355,40.760522,3
Sierra,-120.521993,39.576925,
Siskiyou,-122.533287,41.587986,2.2
Solano,-121.939594,38.267226,11.4
Sonoma,-122.945194,38.532574,7.5
Stanislaus,-121.002656,37.562384,10.5
Sutter,-121.702758,39.035257,8.4
Tehama,-122.232276,40.126156,4.7
Trinity,-123.114404,40.647724,6
Tulare,-118.780542,36.230453,13.9
Tuolumne,-119.964708,38.021451,
Ventura,-119.133143,34.358742,10.3
Yolo,-121.903178,38.679268,4.4
Yuba,-121.34428,39.270026,
