county,long,lat,Daily Mean PM2.5 Concentration
Alameda,-121.913304,37.648081,10.76
Alpine,-119.798999,38.61761,
Amador,-120.653856,38.44355,
Butte,-121.601919,39.665959,3.86
Calaveras,-120.680277,38.20185,4.8
Colusa,-121.99887,39.18919,3.9
Contra Costa,-121.951543,37.919479,8.3
Del Norte,-124.20347,41.75613,8.9
El Dorado,-120.534398,38.785532,
Fresno,-119.655019,36.761006,10.9
Glenn,-122.190834,39.53387,1.2
Humboldt,-123.925818,40.706673,
Imperial,-115.355395,33.040816,10.8
Inyo,-117.403927,36.561977,3.7
Kern,-118.729506,35.346629,11.9
Kings,-119.81553,36.072478,11.3
Lake,-122.746757,39.094802,
Lassen,-120.629931,40.721089,
Los Angeles,-118.261862,34.196398,13.2
Madera,-119.749852,37.210039,10
Marin,-122.745974,38.051817,9.8
Mariposa,-119.91286,37.570034,5.7
Mendocino,-123.442881,39.432388,9.9
Merced,-120.722802,37.194806,8.2
Modoc,-120.71837,41.592919,
Mono,-118.96652,37.64571,6.1
Monterey,-121.315573,36.240107,7.6
Napa,-122.325995,38.507351,
Nevada,-120.773446,39.295191,3
Orange,-117.777207,33.675687,11.1
Placer,-120.722718,39.062032,6.6
Plumas,-120.829516,39.99517,10.3
Riverside,-116.002239,33.729828,14.1
Sacramento,-121.340441,38.450011,7.4
San Benito,-121.085296,36.610702,6
San Bernardino,-116.181197,34.85722,16.1
San Diego,-116.776117,33.023604,8.6
San Francisco,-123.032229,37.727239,14.7
San Joaquin,-121.272237,37.935034,7.4
San Luis Obispo,-120.44754,35.385227,9
San Mateo,-122.371542,37.414664,11
Santa Barbara,-120.038485,34.537378,7
Santa Clara,-121.690622,37.220777,9.5
Santa Cruz,-122.007205,37.012488,9.3
Shasta,-122.04355,40.760522,1
Sierra,-120.521993,39.576925,
Siskiyou,-122.533287,41.587986,6
Solano,-121.939594,38.267226,11.2
Sonoma,-122.945194,38.532574,6.4
Stanislaus,-121.002656,37.562384,14.1
Sutter,-121.702758,39.035257,9
Tehama,-122.232276,40.126156,3.3
Trinity,-123.114404,40.647724,4.1
Tulare,-118.780542,36.230453,13.2
Tuolumne,-119.964708,38.021451,
Ventura,-119.133143,34.358742,11.5
Yolo,-121.903178,38.679268,3.2
Yuba,-121.34428,39.270026,
